cohort_month,months_since_first_order,cohort_size,retained_customers,retention_rate
2024-01,0,12,12,1.0
2024-01,2,12,1,0.0833
2024-01,3,12,1,0.0833
2024-01,7,12,1,0.0833
2024-01,10,12,1,0.0833
2024-02,0,20,20,1.0
2024-02,2,20,2,0.1
2024-02,3,20,1,0.05
2024-02,6,20,1,0.05
2024-02,7,20,1,0.05
2024-02,9,20,2,0.1
2024-02,11,20,2,0.1
2024-02,12,20,1,0.05
2024-03,0,32,32,1.0
2024-03,1,32,1,0.0313
2024-03,2,32,1,0.0313
2024-03,3,32,1,0.0313
2024-03,4,32,2,0.0625
2024-03,5,32,1,0.0313
2024-03,7,32,1,0.0313
2024-03,8,32,1,0.0313
2024-03,9,32,2,0.0625
2024-03,10,32,2,0.0625
2024-03,11,32,1,0.0313
2024-04,0,33,33,1.0
2024-04,1,33,1,0.0303
2024-04,2,33,2,0.0606
2024-04,5,33,3,0.0909
2024-04,6,33,3,0.0909
2024-04,7,33,1,0.0303
2024-04,8,33,1,0.0303
2024-04,9,33,1,0.0303
2024-04,10,33,1,0.0303
2024-05,0,62,62,1.0
2024-05,1,62,2,0.0323
2024-05,2,62,2,0.0323
2024-05,3,62,6,0.0968
2024-05,4,62,2,0.0323
2024-05,5,62,2,0.0323
2024-05,6,62,2,0.0323
2024-05,7,62,2,0.0323
2024-05,8,62,3,0.0484
2024-05,9,62,2,0.0323
2024-05,10,62,5,0.0806
2024-05,11,62,3,0.0484
2024-05,12,62,5,0.0806
2024-06,0,63,63,1.0
2024-06,1,63,2,0.0317
2024-06,2,63,6,0.0952
2024-06,3,63,9,0.1429
2024-06,4,63,1,0.0159
2024-06,5,63,2,0.0317
2024-06,6,63,1,0.0159
2024-06,7,63,3,0.0476
2024-06,8,63,5,0.0794
2024-06,9,63,3,0.0476
2024-06,10,63,6,0.0952
2024-06,11,63,2,0.0317
2024-06,12,63,1,0.0159
2024-07,0,102,102,1.0
2024-07,1,102,5,0.049
2024-07,2,102,2,0.0196
2024-07,3,102,7,0.0686
2024-07,4,102,4,0.0392
2024-07,5,102,4,0.0392
2024-07,6,102,7,0.0686
2024-07,7,102,2,0.0196
2024-07,8,102,6,0.0588
2024-07,9,102,2,0.0196
2024-07,10,102,1,0.0098
2024-07,11,102,4,0.0392
2024-07,12,102,2,0.0196
2024-08,0,92,92,1.0
2024-08,1,92,4,0.0435
2024-08,2,92,3,0.0326
2024-08,3,92,4,0.0435
2024-08,4,92,4,0.0435
2024-08,5,92,5,0.0543
2024-08,6,92,2,0.0217
2024-08,7,92,7,0.0761
2024-08,8,92,5,0.0543
2024-08,9,92,1,0.0109
2024-08,10,92,4,0.0435
2024-08,11,92,4,0.0435
2024-08,12,92,6,0.0652
2024-09,0,97,97,1.0
2024-09,1,97,6,0.0619
2024-09,2,97,2,0.0206
2024-09,3,97,6,0.0619
2024-09,4,97,8,0.0825
2024-09,5,97,3,0.0309
2024-09,6,97,2,0.0206
2024-09,7,97,3,0.0309
2024-09,8,97,2,0.0206
2024-09,9,97,5,0.0515
2024-09,10,97,3,0.0309
2024-09,11,97,4,0.0412
2024-09,12,97,4,0.0412
2024-10,0,117,117,1.0
2024-10,1,117,9,0.0769
2024-10,2,117,3,0.0256
2024-10,3,117,4,0.0342
2024-10,4,117,6,0.0513
2024-10,5,117,6,0.0513
2024-10,6,117,6,0.0513
2024-10,7,117,4,0.0342
2024-10,8,117,6,0.0513
2024-10,9,117,5,0.0427
2024-10,10,117,7,0.0598
2024-10,11,117,7,0.0598
2024-10,12,117,8,0.0684
2024-11,0,145,145,1.0
2024-11,1,145,7,0.0483
2024-11,2,145,5,0.0345
2024-11,3,145,4,0.0276
2024-11,4,145,6,0.0414
2024-11,5,145,5,0.0345
2024-11,6,145,9,0.0621
2024-11,7,145,9,0.0621
2024-11,8,145,6,0.0414
2024-11,9,145,5,0.0345
2024-11,10,145,6,0.0414
2024-11,11,145,3,0.0207
2024-11,12,145,10,0.069
2024-12,0,142,142,1.0
2024-12,1,142,10,0.0704
2024-12,2,142,7,0.0493
2024-12,3,142,7,0.0493
2024-12,4,142,4,0.0282
2024-12,5,142,9,0.0634
2024-12,6,142,9,0.0634
2024-12,7,142,14,0.0986
2024-12,8,142,7,0.0493
2024-12,9,142,9,0.0634
2024-12,10,142,8,0.0563
2024-12,11,142,10,0.0704
2024-12,12,142,4,0.0282
2025-01,0,180,180,1.0
2025-01,1,180,5,0.0278
2025-01,2,180,12,0.0667
2025-01,3,180,13,0.0722
2025-01,4,180,9,0.05
2025-01,5,180,5,0.0278
2025-01,6,180,8,0.0444
2025-01,7,180,11,0.0611
2025-01,8,180,8,0.0444
2025-01,9,180,10,0.0556
2025-01,10,180,12,0.0667
2025-01,11,180,7,0.0389
2025-02,0,182,182,1.0
2025-02,1,182,16,0.0879
2025-02,2,182,12,0.0659
2025-02,3,182,10,0.0549
2025-02,4,182,11,0.0604
2025-02,5,182,10,0.0549
2025-02,6,182,5,0.0275
2025-02,7,182,9,0.0495
2025-02,8,182,9,0.0495
2025-02,9,182,8,0.044
2025-02,10,182,11,0.0604
2025-03,0,200,200,1.0
2025-03,1,200,10,0.05
