customer_id,acquisition_channel,region,recency_days,frequency,monetary_value,customer_aov,first_order_date,last_order_date,recency_score,frequency_score,monetary_score,rfm_segment,churned_90d
C008480,Affiliate,West,9,7,1946.04,278.01,2024-10-22,2025-12-23,5,5,5,Champions,0
C002726,Email,East,25,5,1560.92,312.18,2025-09-30,2025-12-07,5,5,5,Champions,0
C004656,Email,East,92,2,1520.06,760.03,2024-08-24,2025-10-01,3,5,5,Loyal Customers,1
C004360,Social,East,36,8,1501.3,187.66,2024-10-23,2025-11-26,4,5,5,Champions,0
C001007,Affiliate,East,38,6,1417.32,236.22,2025-07-13,2025-11-24,4,5,5,Champions,0
C000436,Paid Search,West,23,5,1321.96,264.39,2024-02-15,2025-12-09,5,5,5,Champions,0
C007217,Affiliate,East,3,5,1317.16,263.43,2025-10-09,2025-12-29,5,5,5,Champions,0
C005144,Affiliate,East,17,7,1307.27,186.75,2025-10-11,2025-12-15,5,5,5,Champions,0
C002080,Organic Search,West,50,4,1296.16,324.04,2025-08-22,2025-11-12,4,5,5,Champions,0
C009141,Email,South,127,7,1264.34,180.62,2024-03-18,2025-08-27,3,5,5,Loyal Customers,1
C005485,Affiliate,East,11,4,1252.26,313.06,2024-10-13,2025-12-21,5,5,5,Champions,0
C008180,Affiliate,South,328,2,1227.28,613.64,2024-06-30,2025-02-07,1,5,5,At Risk,1
C008049,Affiliate,North,180,3,1221.6,407.2,2025-02-10,2025-07-05,2,5,5,At Risk,1
C000430,Affiliate,West,61,3,1215.26,405.09,2025-05-30,2025-11-01,4,5,5,Champions,0
C000122,Social,Central,18,3,1202.23,400.74,2025-09-29,2025-12-14,5,5,5,Champions,0
C003670,Social,North,100,4,1194.94,298.74,2024-11-11,2025-09-23,3,5,5,Loyal Customers,1
C009985,Direct,Central,99,4,1149.37,287.34,2025-01-28,2025-09-24,3,5,5,Loyal Customers,1
C002309,Direct,North,21,1,1130.15,1130.15,2025-12-11,2025-12-11,5,4,5,Champions,0
