month,sessions,converted_sessions,orders,completed_orders,gross_revenue,discount_amount,refund_amount,net_revenue,gross_profit,active_customers,returned_orders,conversion_rate,aov,gross_margin_rate,return_rate,revenue_mom_rate,orders_mom_rate
2024-01,986,67,67,66,8795.92,424.49,155.8,8338.13,2378.4,12,0,0.068,126.34,0.2852,0.0,,
2024-02,1047,87,87,79,14175.77,858.12,1232.73,12202.52,3435.66,20,7,0.0831,154.46,0.2816,0.0805,0.4634600324053477,0.19696969696969702
2024-03,1323,113,113,107,15161.23,904.38,676.31,13805.94,3948.85,33,5,0.0854,129.03,0.286,0.0442,0.13140072706293449,0.35443037974683533
2024-04,1421,113,113,106,12811.01,750.58,861.48,11439.05,3285.51,37,6,0.0795,107.92,0.2872,0.0531,-0.1714399743878361,-0.009345794392523366
2024-05,1652,119,119,107,18280.57,1049.92,1407.02,15980.43,4409.62,65,12,0.072,149.35,0.2759,0.1008,0.39700674444119066,0.009433962264151052
2024-06,1691,142,142,130,20366.71,1087.5,2030.62,17473.99,4866.43,68,8,0.084,134.42,0.2785,0.0563,0.09346181548306287,0.2149532710280373
2024-07,1960,185,185,173,26712.98,1364.66,1272.9,24364.52,6962.81,108,11,0.0944,140.84,0.2858,0.0595,0.39433065945442336,0.3307692307692307
2024-08,2315,179,179,167,24468.57,1429.08,1626.11,21712.28,5917.04,112,11,0.0773,130.01,0.2725,0.0615,-0.10885664893049407,-0.034682080924855474
2024-09,2396,187,187,178,27683.8,1562.07,1506.01,24890.12,6942.79,118,5,0.078,139.83,0.2789,0.0267,0.14636141390954793,0.06586826347305386
2024-10,2635,215,215,200,29460.56,1682.57,2291.82,25912.47,7279.57,140,10,0.0816,129.56,0.2809,0.0465,0.04107453077767409,0.12359550561797761
2024-11,2880,252,252,234,36471.4,2049.65,2646.16,32143.09,8959.67,173,15,0.0875,137.36,0.2787,0.0595,0.24044871060149808,0.16999999999999993
2024-12,3154,253,253,232,35419.9,1981.69,2415.32,31434.49,8868.25,172,16,0.0802,135.49,0.2821,0.0632,-0.02204517362829772,-0.008547008547008517
2025-01,3406,320,320,294,46558.17,2511.78,3964.69,40532.5,11524.82,230,20,0.094,137.87,0.2843,0.0625,0.28942763187823295,0.26724137931034475
2025-02,3450,297,297,281,47624.59,2566.04,2159.9,43329.85,12446.12,221,16,0.0861,154.2,0.2872,0.0539,0.06901498797261452,-0.04421768707482998
2025-03,4158,369,369,332,53272.2,2594.48,5844.82,45367.0,12926.25,270,30,0.0887,136.65,0.2849,0.0813,0.04701493312347038,0.18149466192170816
2025-04,4317,378,378,349,58872.37,3001.73,3763.48,52695.16,15200.52,281,25,0.0876,150.99,0.2885,0.0661,0.1615306279895079,0.051204819277108404
2025-05,5023,400,400,375,61207.7,3158.96,3324.09,55317.55,15765.54,305,18,0.0796,147.51,0.285,0.045,0.04976529153721132,0.07449856733524363
2025-06,5246,459,459,418,69864.65,3970.65,8269.53,58359.47,16552.99,370,33,0.0875,139.62,0.2836,0.0719,0.054990143272795056,0.1146666666666667
2025-07,5977,563,563,514,84765.9,4579.77,6753.68,74358.55,21332.26,434,34,0.0942,144.67,0.2869,0.0604,0.27414710928663344,0.22966507177033502
2025-08,6486,593,593,542,89807.59,4928.92,8049.04,77677.33,21932.09,461,39,0.0914,143.32,0.2823,0.0658,0.04463212367642999,0.054474708171206254
2025-09,7354,640,640,580,92473.18,5020.38,9644.13,78818.07,21947.68,489,48,0.087,135.89,0.2785,0.075,0.014685623205638043,0.07011070110701101
2025-10,8918,826,826,766,125828.16,7067.28,9362.34,110579.44,30861.77,659,49,0.0926,144.36,0.2791,0.0593,0.40297066396068804,0.3206896551724139
2025-11,10353,961,961,892,139662.16,7576.53,10899.51,122631.62,34239.54,778,49,0.0928,137.48,0.2792,0.051,0.10899114699803136,0.164490861618799
2025-12,11852,1098,1098,1013,165408.42,9324.57,13535.81,144179.74,40642.01,840,63,0.0926,142.33,0.2819,0.0574,0.17571422443901485,0.13565022421524664
