product_id,product_name,category,subcategory,units_sold,orders,net_revenue,gross_profit,gross_margin_rate,list_price,unit_return_rate
P0005,Urban Audio Edge,Electronics,Audio,188,159,40011.1,13634.9,0.3408,246.28,0.0479
P0060,Nova Accessories Edge,Electronics,Accessories,127,100,31503.32,8300.9,0.2635,292.09,0.0866
P0025,Nova Fitness Plus,Sports & Outdoors,Fitness,162,135,29940.33,8380.33,0.2799,205.03,0.0185
P0034,Motion Smart Home Plus,Electronics,Smart Home,150,115,25200.43,7971.79,0.3163,185.68,0.0467
P0086,Core Accessories Go,Electronics,Accessories,115,95,25112.4,6354.59,0.253,244.65,0.0348
P0064,Nova Audio Go,Electronics,Audio,110,92,22428.82,6044.61,0.2695,230.87,0.0364
P0028,Studio Audio Plus,Electronics,Audio,175,149,22029.13,7401.01,0.336,148.48,0.08
P0027,Alpine Fitness Classic,Sports & Outdoors,Fitness,150,121,21835.07,6367.79,0.2916,169.53,0.06
P0016,Prime Decor One,Home & Living,Decor,188,159,21807.08,5620.28,0.2577,137.12,0.1064
P0074,Motion Fitness Mini,Sports & Outdoors,Fitness,119,93,20385.72,6012.12,0.2949,203.81,0.0924
P0044,Flex Decor Classic,Home & Living,Decor,193,153,19949.54,4329.54,0.217,119.83,0.0674
P0007,Urban Bags Classic,Fashion,Bags,208,159,19737.19,7353.63,0.3726,111.14,0.0673
P0137,Urban Audio Select,Electronics,Audio,91,72,19147.67,6446.05,0.3366,257.34,0.0989
P0033,Nova Fitness Pro,Sports & Outdoors,Fitness,157,124,18590.38,4030.93,0.2168,136.29,0.0637
P0128,Alpine Accessories One,Electronics,Accessories,81,61,17833.14,4386.72,0.246,242.56,0.0247
P0080,Motion Kitchen One,Home & Living,Kitchen,122,99,16413.59,3599.55,0.2193,158.7,0.0902
P0017,Prime Cycling Pro,Sports & Outdoors,Cycling,159,129,16261.48,3603.6,0.2216,121.23,0.0692
P0057,Studio Care Classic,Pet Supplies,Care,166,137,15810.27,4082.43,0.2582,105.4,0.0241
P0054,Prime Outdoor Go,Sports & Outdoors,Outdoor,133,112,15563.61,4737.74,0.3044,135.98,0.0752
P0065,Studio Audio Go,Electronics,Audio,120,97,15044.71,3878.11,0.2578,143.29,0.0333
P0130,Prime Cycling Edge,Sports & Outdoors,Cycling,86,75,14171.49,4120.29,0.2907,186.84,0.0698
